product_category,avg_price_retention_pct,avg_age_days,avg_condition_score,count
Furniture,38.38565617491802,1200.3423799582463,53.57515657620042,958
Microwaves,33.57252256536527,1180.822688274547,55.7210676835081,1049
Televisions,32.0861885401721,1154.5562015503876,55.88333333333333,1032
Washing Machines,31.729503747117718,1158.9634888438134,53.40993914807302,986
Refrigerators,31.523261260008997,1189.340909090909,53.0073347107438,968
Tablets,29.912679538170213,1154.4958762886597,54.34896907216495,970
Headphones,29.76666785521422,1177.7358299595141,53.035829959514174,988
Smart Watches,29.597044256051962,1194.439379243453,53.38545101842871,1031
Laptops,29.44696943978147,1184.057276995305,54.345539906103284,1065
Mobile Phones,28.84630711039313,1213.3850996852045,54.002833158447004,953
